Rk,Tm,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
1,Philadelphia Phillies,15.3,ATL12.5,KCR10.3,CLE7.5,LAD19.7,MIL2.0,PHI2.9,ARI4.1,SFG4.9,KCR7.1,BOS3.4,NYY5.4,NYY5.6,NYY10.2,LAD7.1,ARI0.9
2,New York Yankees,13.9,CIN10.9,CIN9.3,ATL3.9,ARI13.8,PHI1.9,TOR2.8,MIL2.2,CLE3.3,BAL6.8,CLE1.7,BOS4.1,HOU2.1,BOS9.3,OAK2.9,LAD0.3
3,Los Angeles Dodgers,12.8,SDP8.2,ATL8.6,TBR3.5,BAL11.6,LAD1.8,LAD2.5,CLE1.8,TOR2.0,NYM5.1,CHC1.7,SEA3.0,BOS1.8,SDP3.8,HOU2.6,TOR0.3
4,Atlanta Braves,12.7,KCR7.4,CHW5.7,MIL2.9,NYY10.4,STL1.8,ATL1.6,TEX1.7,ATL1.8,LAD3.2,MIL1.5,SDP2.3,LAD1.8,MIL3.7,ARI2.1,PHI0.2
5,San Diego Padres,9.9,TBR6.4,SDP5.5,SDP2.7,PHI9.3,KCR1.6,ARI0.7,CHC1.2,NYM1.8,TEX3.2,TEX1.1,TOR2.0,MIL1.1,SEA3.6,ATL2.0,SEA0.2
6,Houston Astros,9.8,PHI6.0,PHI5.3,OAK2.5,TOR7.7,SEA1.5,BAL0.7,NYM1.1,LAD1.7,LAA3.0,LAD1.0,COL1.8,ARI1.0,CHC3.4,PHI1.5,BAL0.0
7,Milwaukee Brewers,9.7,DET4.0,PIT4.6,MIA1.8,BOS6.9,HOU1.1,CHC0.6,LAD1.0,HOU1.5,CIN2.9,SEA0.9,DET1.7,BAL0.9,BAL2.6,NYY1.5,NYM-0.1
8,Baltimore Orioles,9.2,HOU3.6,HOU3.9,CIN1.6,MIL6.3,BAL0.9,NYM0.4,HOU0.9,PHI1.1,STL2.4,SDP0.8,ATL1.3,CHC0.7,DET2.4,CLE0.3,NYY-0.1
9,Kansas City Royals,8.1,NYY3.5,NYY3.8,STL1.6,HOU6.2,ARI0.9,TEX0.3,TOR0.8,ARI1.0,ARI2.4,DET0.7,BAL1.1,SDP0.7,LAD2.1,BAL0.3,WSN-0.2
10,Arizona Diamondbacks,6.4,MIL3.4,BOS3.2,DET1.1,SEA5.7,NYY0.9,MIN0.3,PHI0.7,BOS0.8,PHI2.1,BAL0.6,MIN1.1,OAK0.5,TOR2.1,DET0.1,TEX-0.4
11,Boston Red Sox,6,CLE2.3,DET3.0,PHI0.7,NYM4.8,LAA0.8,TBR-0.1,MIA0.4,SEA0.7,CHC1.9,TOR0.6,MIL1.1,DET0.0,HOU2.0,CHC0.0,DET-0.4
12,Seattle Mariners,5.5,OAK1.5,TBR2.9,NYY-0.3,CHC4.5,OAK0.7,SDP-0.5,SEA0.1,MIL0.5,HOU1.9,ARI0.4,CHC1.0,SFG-0.1,ARI1.7,MIL0.0,BOS-0.5
13,Cleveland Guardians,4,PIT1.5,SEA2.8,HOU-0.3,SDP1.7,TOR0.5,KCR-0.6,WSN0.0,BAL0.4,MIN1.8,PHI0.3,WSN0.8,WSN-0.3,WSN0.2,SDP-0.1,CHC-0.5
14,New York Mets,2,MIN0.5,NYM2.6,MIN-0.5,CLE1.7,ATL0.3,CLE-0.6,BAL-0.1,TBR0.4,WSN1.7,HOU0.2,ARI0.3,SEA-0.3,NYM-0.8,MIN-0.1,TBR-0.6
15,Tampa Bay Rays,1.6,MIA0.4,BAL1.2,SFG-1.0,TEX0.9,CIN0.2,SFG-0.8,NYY-0.3,TEX0.3,BOS1.6,NYM0.0,KCR0.2,MIN-0.4,MIN-0.8,STL-0.3,ATL-0.6
16,Chicago Cubs,0.3,SEA-0.2,MIN1.0,LAA-1.2,KCR0.7,COL0.1,STL-0.9,KCR-0.3,NYY0.2,COL1.5,PIT-0.1,TBR0.0,TOR-0.5,SFG-0.9,BOS-0.3,MIL-0.6
17,Detroit Tigers,0.1,CHW-0.2,MIL0.6,WSN-1.8,ATL0.2,PIT-0.2,SEA-1.0,DET-0.4,SDP0.2,SEA1.4,SFG-0.2,PHI-0.2,NYM-0.6,CLE-1.0,TOR-0.4,SFG-0.6
18,Minnesota Twins,-2.7,BOS-0.9,CHC-0.8,ARI-2.6,SFG-0.6,CHC-0.2,DET-1.4,TBR-0.5,COL0.1,NYY1.2,STL-0.3,NYM-0.2,TBR-0.7,PHI-1.1,TEX-0.5,CLE-0.7
19,San Francisco Giants,-3.1,STL-1.1,OAK-1.0,SEA-2.9,MIN-3.2,SFG-0.5,LAA-1.5,SDP-0.6,STL0.1,MIL0.9,WSN-0.3,HOU-0.3,PHI-1.2,TEX-1.7,TBR-0.5,SDP-0.7
20,Cincinnati Reds,-3.9,BAL-2.4,MIA-1.3,KCR-2.9,STL-3.2,BOS-0.5,COL-1.7,OAK-0.7,MIN-0.5,SDP0.5,LAA-0.3,OAK-0.3,MIA-1.2,OAK-1.7,PIT-0.6,HOU-0.8
21,St. Louis Cardinals,-4.3,SFG-2.5,SFG-1.4,PIT-3.1,DET-3.9,DET-0.7,PIT-1.7,ATL-0.8,PIT-0.6,TBR0.5,NYY-0.8,SFG-0.6,CLE-1.5,TBR-2.4,SFG-0.7,COL-0.9
22,Oakland Athletics,-5.3,NYM-2.8,TEX-2.3,CHC-3.3,TBR-4.8,SDP-0.9,WSN-1.8,PIT-0.9,KCR-0.7,CLE0.2,MIN-1.5,LAD-0.7,LAA-1.5,ATL-2.6,SEA-0.8,KCR-1.0
23,Texas Rangers,-5.7,CHC-4.2,STL-2.7,LAD-3.3,WSN-5.5,WSN-0.9,BOS-2.0,CIN-1.0,LAA-0.8,SFG0.1,TBR-1.7,TEX-1.1,CIN-1.6,LAA-3.0,KCR-1.1,MIN-1.0
24,Toronto Blue Jays,-5.7,WSN-4.5,WSN-2.7,BAL-3.6,OAK-6.8,MIN-0.9,CHW-2.3,STL-1.2,DET-1.3,PIT0.0,OAK-1.9,CHW-1.1,TEX-1.7,STL-4.0,NYM-1.4,LAA-1.1
25,Pittsburgh Pirates,-8.3,LAA-5.8,LAD-3.7,BOS-3.9,LAA-7.9,NYM-1.3,MIL-2.4,BOS-1.5,CHC-1.9,TOR-0.4,CIN-1.9,LAA-1.2,ATL-1.8,KCR-4.3,COL-2.0,STL-1.1
26,Washington Nationals,-10,TEX-6.6,TOR-4.3,TEX-4.2,COL-9.0,CLE-1.6,MIA-2.4,COL-1.7,MIA-1.9,MIA-1.3,ATL-2.1,CLE-1.2,KCR-2.0,COL-4.4,WSN-2.0,OAK-1.2
27,Los Angeles Angels,-13.7,LAD-6.9,LAA-4.5,NYM-5.3,PIT-9.8,TBR-1.6,OAK-2.5,MIN-2.0,WSN-2.5,ATL-1.5,KCR-2.5,PIT-1.2,STL-2.2,PIT-4.6,MIA-2.1,PIT-1.2
28,Miami Marlins,-16.9,ARI-7.4,ARI-4.9,CHW-5.9,CIN-14.8,TEX-2.0,HOU-3.0,SFG-2.1,OAK-2.6,OAK-1.7,CHW-3.1,MIA-1.5,COL-2.9,CIN-5.0,LAA-2.5,CIN-1.3
29,Colorado Rockies,-22.9,TOR-13.4,CLE-5.2,COL-7.9,MIA-17.3,MIA-2.8,NYY-3.2,CHW-2.1,CHW-3.5,CHW-1.8,MIA-3.1,STL-1.5,CHW-3.1,MIA-5.8,CHW-3.2,MIA-1.4
30,Chicago White Sox,-26,COL-13.9,COL-6.0,TOR-9.1,CHW-25.8,CHW-3.5,CIN-3.4,LAA-2.8,CIN-3.9,DET-2.2,COL-3.3,CIN-1.5,PIT-3.3,CHW-7.3,CIN-3.3,CHW-2.1